cpd:C00001	H2O; Water
cpd:C16527	7,10,13,16-Docosatetraenoic acid; (7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid; Adrenic acid
cpd:C16528	Docosanoyl-CoA; Behenoyl-CoA
cpd:C16529	Tetracosanoyl-CoA; Lignoceroyl-CoA
cpd:C16530	Icosenoyl-CoA; Eicosenoyl-CoA; (11Z)-Icosenoyl-CoA; (11Z)-Eicosenoyl-CoA
cpd:C16531	Docosenoyl-CoA; (13Z)-Docosenoyl-CoA
cpd:C16532	Tetracosenoyl-CoA; Nervonoyl-CoA; (15Z)-Tetracosenoyl-CoA
cpd:C16533	13,16-Docosadienoic acid; (13Z,16Z)-Docosa-13,16-dienoic acid
cpd:C16540	7(1)-Hydroxychlorophyllide a
cpd:C16541	Chlorophyllide b
cpd:C16542	APC
cpd:C16543	NPC
cpd:C16544	alpha-Hydroxytamoxifen
cpd:C16545	Tamoxifen N-oxide
cpd:C16546	N-Desmethyltamoxifen
cpd:C16547	Endoxifen; 4-Hydroxy-N-desmethyltamoxifen
cpd:C16548	N,N-Didesmethyltamoxifen
cpd:C16549	alpha-Hydroxy-N-desmethyltamoxifen
cpd:C16550	Dechloroethylcyclophosphamide; 3-Dechloroethylifosfamide
cpd:C16551	Alcophosphamide
cpd:C16552	Nornitrogen mustard
cpd:C16553	4-Hydroxyifosfamide
cpd:C16554	4-Ketoifosfamide
cpd:C16555	2-Dechloroethylifosfamide
cpd:C16556	Aldoifosfamide
cpd:C16557	Carboxyifosfamide
cpd:C16558	Alcoifosfamide
cpd:C16559	Isophosphamide mustard
cpd:C16560	3-Hydroxylidocaine
cpd:C16561	Monoethylglycinexylidide
cpd:C16562	Glutathionylspermine
cpd:C16563	Bis(glutathionyl)spermine; N1,N12-Bis(glutathionyl)spermine
cpd:C16564	Bis(glutathionyl)spermine disulfide
cpd:C16565	Aminopropylcadaverine
cpd:C16566	Glutathionylaminopropylcadaverine
cpd:C16567	Homotrypanothione; N1,N9-Bis(glutathionyl)aminopropylcadaverine
cpd:C16568	Homotrypanothione disulfide
cpd:C16569	Glycinexylidide; GX
cpd:C16570	4-Hydroxy-2,6-dimethylaniline; 3,5-Dimethyl-4-aminophenol
cpd:C16571	2-Amino-3-methylbenzoate
cpd:C16572	3-Hydroxymonoethylglycinexylidide
cpd:C16576	Norcodeine; N-Desmethylcodeine
cpd:C16577	Codeine-6-glucuronide
cpd:C16578	Morphine-6-glucuronide
cpd:C16582	2-Hydroxyfelbamate
cpd:C16583	(R)-(Homo)2-citrate; (R)-2-Hydroxy-1,2,5-pentanetricarboxylate; (R)-2-Hydroxy-1,2,5-pentanetricarboxylic acid
cpd:C16584	p-Hydroxyfelbamate
cpd:C16586	2-Phenyl-1,3-propanediol monocarbamate
cpd:C16587	3-Carbamoyl-2-phenylpropionaldehyde
cpd:C16588	2-Oxopimelate; alpha-Ketopimelate; 2-Oxoheptanedionic acid
cpd:C16589	2-Oxosuberate; 2-Oxooctanedionic acid; alpha-Ketosuberate
cpd:C16590	7-Oxoheptanoic acid; 7-Ketoheptanoic acid
cpd:C16591	3-Carbamoyl-2-phenylpropionic acid
cpd:C16592	Atropaldehyde; 2-Phenylpropenal
cpd:C16593	7-Mercaptoheptanoic acid
cpd:C16594	7-Mercaptoheptanoylthreonine
cpd:C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one
cpd:C16596	5-Phenyl-1,3-oxazinane-2,4-dione
cpd:C16597	(-)-threo-Iso(homo)2-citrate; (-)-threo-1-Hydroxy-1,2,5-pentanetricarboxylic acid; 1-Hydroxypentane-1,2,5-tricarboxylate; threo-(Homo)2-isocitrate
cpd:C16598	(R)-(Homo)3-citrate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylic acid
cpd:C16600	(-)-threo-Iso(homo)3-citrate; (-)-threo-1-Hydroxy-1,2,6-hexanetricarboxylic acid; 1-Hydroxyhexane-1,2,6-tricarboxylate; threo-(Homo)3-isocitrate
cpd:C16601	2-Hydroxycarbamazepine
cpd:C16602	3-Hydroxycarbamazepine
cpd:C16603	2,3-Dihydroxycarbamazepine
cpd:C16604	2-Hydroxyiminostilbene
cpd:C16605	2H-Dibenz[b,f]azepin-2-one
cpd:C16606	Carbamazepine-o-quinone
cpd:C16607	Citalopram N-oxide
cpd:C16608	Demethylcitalopram
cpd:C16609	Didemethylcitalopram
cpd:C16610	Citalopram propionic acid
cpd:C16612	Citalopram aldehyde
cpd:C16613	6-Thiourate; 6-Thiouric acid
cpd:C16614	6-Methylmercaptopurine; Thiopurine S-methylether
cpd:C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide; 6-Methylthioinosine-5'-monophosphate
cpd:C16616	6-Mercaptopurine ribonucleoside 5'-diphosphate; 6-Thioinosine-5'-diphosphate
cpd:C16617	6-Mercaptopurine ribonucleoside triphosphate; 6-Thioinosine-5'-triphosphate
cpd:C16618	6-Thioxanthine 5'-monophosphate
cpd:C16619	6-Thioguanosine monophosphate
cpd:C16620	6-Methylthioguanosine monophosphate
cpd:C16621	1-Methyl-4-nitroimidazole
cpd:C16622	N,N'-Diacetylhydrazine; Diacetylhydrazine
cpd:C16623	Isonicotinylglycine; Isonicotinuric acid
cpd:C16624	Isoniazid pyruvate
cpd:C16625	Isoniazid alpha-ketoglutaric acid
cpd:C16630	5,6-Dihydro-5-fluorouracil; 5-Fluorodihydrouracil
cpd:C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
cpd:C16632	alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid
cpd:C16633	5-Fluorouridine
cpd:C16634	5-Fluorouridine monophosphate
cpd:C16635	5'-Deoxy-5-fluorocytidine
cpd:C16638	O-Phosphoseryl-tRNA(Sec)
cpd:C16640	CAI-1; Cholerae autoinducer-1
cpd:C16641	Irinotecan
cpd:C16643	Morphine-3-glucuronide
cpd:C16645	(13Z,16Z)-Docosadi-13,16-enoyl-CoA
cpd:C16648	2-n-Propyl-4-pentenoic acid; 4-En-valproic acid; 4-Ene-VPA
cpd:C16649	4-Hydroxyvalproic acid; 2-n-Propyl-4-hydroxypentanoic acid; 4-OH-VPA
cpd:C16650	5-Hydroxyvalproic acid; 2-n-Propyl-5-hydroxypentanoic acid; 5-OH-VPA
cpd:C16651	3-Hydroxyvalproic acid; 2-n-Propyl-3-hydroxypentanoic acid; 3-OH-VPA
cpd:C16652	3-Oxovalproic acid; 2-n-Propyl-3-oxopentanoic acid; 3-Keto-VPA
cpd:C16653	2-n-Propyl-2-pentenoic acid; 2-En-valproic acid; 2-Ene-VPA
cpd:C16654	2-n-Propyl-3-pentenoic acid; 3-En-valproic acid; 3-Ene-VPA
cpd:C16655	2-n-Propyl-4-oxopentanoic acid; 4-Oxovalproic acid; 4-Keto-VPA
cpd:C16656	2-Propyl-2,4-pentadienoic acid; 2,4-Diene-VPA
cpd:C16657	2-Propylsuccinic acid; 2-PSA
cpd:C16658	2-Propylglutaric acid; 2-PGA
cpd:C16659	2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine; EDDP
cpd:C16660	2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline; EMDP
cpd:C16661	L-alpha-Acetyl-N-normethadol; nor-LAAM
cpd:C16662	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM
cpd:C16663	Tryparedoxin
cpd:C16664	Tryparedoxin disulfide
cpd:C16665	12-Methyltetradecanoic acid
cpd:C16666	Vanillylamine
cpd:C16671	3,6-Dihydronicotinic acid
cpd:C16673	Isoglutamine; 4,5-Diamino-5-oxopentanoic acid; DL-Isoglutamine
cpd:C16674	Formylisoglutamine; DL-Formylisoglutamine
cpd:C16675	7-Aminomethyl-7-carbaguanine; 7-Aminomethyl-7-deazaguanine
cpd:C16677	all-trans-4-Hydroxyretinoic acid
cpd:C16678	all-trans-4-Oxoretinoic acid
cpd:C16679	all-trans-18-Hydroxyretinoic acid
cpd:C16680	all-trans-5,6-Epoxyretinoic acid; all-trans-5,6-Epoxy-5,6-dihydroretinoic acid
cpd:C16681	9-cis-Retinal
cpd:C16682	9-cis-Retinol
cpd:C16683	4-Oxoretinol
cpd:C16688	Sucrose 6-phosphate; 6-Phosphosucrose; 6-O-Phosphonosucrose; beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside
cpd:C16692	Mannopine
cpd:C16696	Dolichotheline
cpd:C16697	1-Indolizidinone; 1-Ketooctahydroindolizine
cpd:C16698	N-Acetylmuramic acid 6-phosphate; N-Acetylmuramate 6-phosphate; MurNAc 6-phosphate
cpd:C16699	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate; 2-O-(6-Phospho-alpha-D-mannosyl)-D-glycerate
cpd:C16700	3,4-Dihydroxybenzaldehyde; Protocatechualdehyde
cpd:C16701	Norbelladine
cpd:C16702	4'-O-Methylnorbelladine
cpd:C16703	N-Demethylnarwedine
cpd:C16704	Anhalonidine
cpd:C16705	Anhalonine; O-Methylanhalonidine
cpd:C16706	4-Hydroxydihydrocinnamaldehyde; 3-(p-Hydroxyphenyl)propanal
cpd:C16707	(S)-Autumnaline; Autumnaline
cpd:C16708	Isoandrocymbine
cpd:C16709	O-Methylandrocymbine
cpd:C16710	N-Formyldemecolcine
cpd:C16712	Deacetylcolchicine; Trimethylcolchicinic acid methyl ether
cpd:C16713	Floramultine
cpd:C16714	Kreysigine
cpd:C16716	4-Hydroxy-2-quinolone
cpd:C16719	(-)-Norephedrine; l-Phenylpropanolamine
cpd:C16721	Platydesmine
cpd:C16723	Pumiloside
cpd:C16724	Strictosamide
cpd:C16725	Deoxypumiloside
cpd:C16726	Cinchoninone; Cinchonan-9-one
cpd:C16727	Cinchonamine
cpd:C16728	Quinidinone
cpd:C16735	Corynantheal
cpd:C16737	5-Deoxy glucuronic acid
cpd:C16753	Aflatoxin B2
cpd:C16754	Aflatoxin G2
cpd:C16755	Aflatoxin G1
cpd:C16756	Aflatoxin M1
cpd:C16790	Coronatine
cpd:C16814	gamma-Bisabolene; (Z)-gamma-Bisabolene
cpd:C16826	2-cis,6-trans-Farnesyl diphosphate; (2Z,6E)-Farnesyl diphosphate
cpd:C16829	gamma-Humulene
cpd:C16844	Hydroxyl radical; Hydrogen oxide
cpd:C16845	Peroxynitrite
cpd:C16848	6-Deoxy-5-ketofructose 1-phosphate; 1-Deoxy-D-threo-hexo-2,5-diulose 6-phosphate
cpd:C16850	2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid
cpd:C16911	Afzelin; Kaempferin; Kaempferol 3-O-alpha-L-rhamnoside
cpd:C16930	Chavicol
cpd:C16933	3,6-Dihydropyridine
cpd:C16999	Futalosine
cpd:C17010	de-Hypoxanthine futalosine; Dehypoxanthine futalosine
cpd:C17017	Cyclic de-hypoxanthine futalosine
cpd:C17018	1,4-Dihydroxy-6-naphthoate
cpd:C17022	O-Phosphoseryl-tRNA(Cys)
cpd:C17027	L-Pyrrolysyl-tRNA(Pyl)
cpd:C17203	N-Hydroxyl-tryptamine
cpd:C17209	2-Deoxy-scyllo-inosose; 2-Deoxyinosose; 2-Deoxy-L-scyllo-inosose
cpd:C17210	2-(2'-Methylthio)ethylmalic acid; 2-(2'-Methylthio)ethylmalate
cpd:C17211	2-Oxo-5-methylthiopentanoic acid; 5-(Methylthio)-2-oxo-pentanoic acid
cpd:C17212	3-(2'-Methylthio)ethylmalic acid; 3-(2'-Methylthio)ethylmalate
cpd:C17213	Homomethionine
cpd:C17214	2-(3'-Methylthio)propylmalic acid; 2-(3'-Methylthio)propylmalate
cpd:C17215	3-(3'-Methylthio)propylmalic acid; 3-(3'-Methylthio)propylmalate
cpd:C17216	2-Oxo-6-methylthiohexanoic acid; 6-(Methylthio)-2-oxo-hexanoic acid
cpd:C17217	Dihomomethionine
cpd:C17218	2-(4'-Methylthio)butylmalic acid; 2-(4'-Methylthio)butylmalate
cpd:C17219	3-(4'-Methylthio)butylmalic acid; 3-(4'-Methylthio)butylmalate
cpd:C17220	2-Oxo-7-methylthioheptanoic acid; 7-(Methylthio)-2-oxo-heptanoic acid
cpd:C17221	Trihomomethionine; 2-Amino-7-(methylsulfanyl)heptanoic acid
cpd:C17222	2-(5'-Methylthio)pentylmalic acid; 2-(5'-Methylthio)pentylmalate
cpd:C17223	3-(5'-Methylthio)pentylmalic acid; 3-(5'-Methylthio)pentylmalate
cpd:C17224	2-Oxo-8-methylthiooctanoic acid; 8-Methylthio-2-octanoic acid
cpd:C17225	Tetrahomomethionine
cpd:C17226	2-(6'-Methylthio)hexylmalic acid; 2-(6'-Methylthio)hexylmalate
cpd:C17227	3-(6'-Methylthio)hexylmalic acid; 3-(6'-Methylthio)hexylmalate
cpd:C17228	2-Oxo-9-methylthiononanoic acid; 9-Methylthio-2-nonanoic acid
cpd:C17229	Pentahomomethionine
cpd:C17230	2-(7'-Methylthio)heptylmalic acid; 2-(7'-Methylthio)heptylmalate
cpd:C17231	3-(7'-Methylthio)heptylmalic acid; 3-(7'-Methylthio)heptylmalate
cpd:C17232	2-Oxo-10-methylthiodecanoic acid; 10-Methylthio-2-decanoic acid
cpd:C17233	Hexahomomethionine
cpd:C17235	L-Homophenylalanine
cpd:C17236	3-Phenylpropionaldoxim
cpd:C17237	S-(Phenylacetothiohydroximoyl)-L-cysteine
cpd:C17238	S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine
cpd:C17239	p-Hydroxyphenylacetothiohydroximate
cpd:C17240	p-Hydroxybenzyldesulphoglucosinolate; Desulfo-p-hydroxybenzylglucosinolate
cpd:C17241	4-Methylthiobutanaldoxime
cpd:C17242	S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine
cpd:C17243	4-Methylthiobutylthiohydroximate
cpd:C17244	3-Methylthiopropyl-desulfoglucosinolate
cpd:C17245	5-Methylthiopentanaldoxime
cpd:C17246	6-Methylthiohexanaldoxime
cpd:C17248	4-Methylthiobutyl-desulfoglucosinolate
cpd:C17249	7-Methylthioheptanaldoxime; 7-(Methylsulfanyl)heptanal oxime
cpd:C17250	Glucolesquerellin; 6-Methylthiohexyl glucosinolate
cpd:C17251	8-Methylthiooctanaldoxime
cpd:C17252	7-Methylthioheptyl glucosinolate
cpd:C17253	9-Methylthiononanaldoxime
cpd:C17254	8-Methylthiooctyl glucosinolate
cpd:C17255	3-Methylbutyraldehyde oxime
cpd:C17256	2-Methylpropyl glucosinolate; Isobutyl glucosinolate
cpd:C17268	Pyruvophenone; 1-Phenyl-1,2-propanedione
cpd:C17277	(+)-Valencene
cpd:C17302	AL-294; Ethyl 2-chloro-3-(4-(2-methyl-2-phenylpropoxy)phenyl)propanoate
cpd:C17303	AL-321; 5-(4-(2-Methyl-2-phenylpropoxy)benzyl)thiazolidine-2,4-dione
cpd:C17322	tRNA containing 2-thiouridine; tRNA containing s2U
cpd:C17326	CDP-4-dehydro-3,6-dideoxy-D-glucose epimer
cpd:C17327	CDP-ascarylose
cpd:C17328	UDP-4-keto-rhamnose
cpd:C17331	7alpha,24-Dihydroxy-4-cholesten-3-one
cpd:C17332	7alpha,25-Dihydroxy-4-cholesten-3-one
cpd:C17333	3beta-Hydroxy-5-cholestenoate; 3beta-Hydroxycholest-5-en-27-oic acid
cpd:C17335	3beta,7alpha-Dihydroxy-5-cholestenoate; 3beta,7alpha-Dihydroxy-5-cholesten-26-oic acid
cpd:C17336	7alpha,26-Dihydroxy-4-cholesten-3-one
cpd:C17337	7alpha-Hydroxy-3-oxo-4-cholestenoate
cpd:C17339	4-Cholesten-7alpha,12alpha-diol-3-one; 7alpha,12alpha-Dihydroxy-4-cholesten-3-one
cpd:C17343	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
cpd:C17345	(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
cpd:C17346	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
cpd:C17401	Cobalt-factor III
cpd:C17412	Shikonin
cpd:C17432	all-trans-Decaprenyl diphosphate
cpd:C17541	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine; Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)-D-Ala-D-Ala
cpd:C17542	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine; Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)3-D-Ala-D-Ala
cpd:C17549	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine
cpd:C17550	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine
cpd:C17551	2-Polyprenyl-6-hydroxyphenol; 3-Polyprenylcatechol
cpd:C17552	2-Polyprenyl-6-methoxyphenol
cpd:C17554	3-Polyprenyl-4,5-dihydroxybenzoate; 3,4-Dihydroxy-5-polyprenylbenzoate
cpd:C17556	di-trans,poly-cis-Undecaprenyl phosphate; Undecaprenyl phosphate; ditrans,octacis-Undecaprenyl phosphate
cpd:C17558	di-trans,poly-cis-Undecaprenol; Undecaprenol
cpd:C17559	3-Polyprenyl-4-hydroxy-5-methoxybenzoate
cpd:C17560	2-Polyprenyl-6-methoxy-1,4-benzoquinone
cpd:C17561	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone
cpd:C17562	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
cpd:C17568	Ubiquinone-6; Coenzyme Q6
cpd:C17569	Ubiquinone-8; Coenzyme Q8
cpd:C17570	2-Methyl-6-solanyl-1,4-benzoquinol; 2-Methyl-6-nonaprenyl-benzene-1,4-diol
cpd:C17580	2-Deoxy-scyllo-inosamine
cpd:C17581	3-Amino-2,3-dideoxy-scyllo-inosose; 2-Deoxy-3-keto-scyllo-inosamine
cpd:C17582	2'-N-Acetylparomamine
cpd:C17583	6'-Dehydro-6'-oxoparomamine; 6'-Dehydroparomamine; 6'-Oxoparomamine
cpd:C17585	Butirosin A
cpd:C17586	Butirosin B
cpd:C17587	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C
cpd:C17588	6'''-Deamino-6'''-hydroxyneomycin C; 6'''-Hydroxyneomycin C
cpd:C17589	6'''-Deamino-6'''-oxoneomycin C; 6'''-Oxoneomycin C; 6'''-Deamino-6'''-dehydro-6'''-oxoneomycin C
cpd:C17591	(S)-Corytuberine
cpd:C17592	Laudanine
cpd:C17621	(6E)-8-Hydroxygeraniol; 10-Hydroxygeraniol; 8-Hydroxygeraniol
cpd:C17622	(6E)-8-Oxogeranial; 10-Oxogeranial; 8-Oxogeranial
cpd:C17644	Ursocholate; Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid
cpd:C17646	12-Epideoxycholic acid; 12-Epideoxycholate
cpd:C17647	alpha-Muricholate; alpha-Muricholic acid; 5beta-Cholanic acid-3alpha,6beta,7alpha-triol; 3alpha,6beta,7alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17649	Hyocholate; Hyocholic acid; Iocholic acid; gamma-Muricholate; alpha-Hyocholic acid; 3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid; 6alpha-Hydroxychenodeoxycholic acid
cpd:C17650	Vulpecholate; Vulpecholic acid; 1alpha,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17651	alpha-Phocaecholic acid; 3alpha,7alpha,12alpha,23R-Tetrahydroxycholanic acid
cpd:C17654	beta-Phocaecholate; beta-Phocaecholic acid; (23R)-Hydroxychenodeoxycholate
cpd:C17657	Bitocholate; Bitocholic acid
cpd:C17658	Isolithocholate; Isolithocholic acid; beta-Lithocholic acid; beta-Lithocholanic acid; 3-Epilithocholic acid; 3beta-Hydroxy-5beta-cholan-24-oic acid; 3beta-Hydroxy-5beta-cholan-24-oic acid
cpd:C17660	Isochenodeoxycholate; Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid
cpd:C17661	Isodeoxycholate; Isodeoxycholic acid; 7alpha,12alpha-Dihydroxy-5beta-cholanic acid; 7alpha,12alpha-Dihydroxycholanoic acid
cpd:C17662	Isoursodeoxycholate; Isoursodeoxycholic acid; 3beta,7beta-Dihydroxy-5beta-cholanoic acid; 3beta,7beta-Dihydroxy-5beta-cholan-24-oic acid
cpd:C17664	Allochenodeoxycholate; Allochenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5alpha-cholanoic acid
cpd:C17667	Avicholate; Avicholic acid
cpd:C17668	Haemulcholate; Hemulcholic acid; 3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic acid
cpd:C17687	Allodeoxycholate; 5alpha-Deoxycholic acid; 3alpha,12alpha-Dihydroxy-5alpha-cholanoic acid
cpd:C17689	Ursodeoxycholoyl-CoA; 3alpha,7beta-Dihydroxy-5beta-cholanoyl-CoA
cpd:C17726	beta-Muricholate; beta-Muricholic acid; 3alpha,6beta,7beta-Trihydroxy-5beta-cholan-24-oic acid; 5beta-Cholanic acid-3alpha,6beta,7beta-triol
cpd:C17727	omega-Muricholate; omega-Muricholic acid
cpd:C17733	7-Oxateasterone; (22R,23R,24S)-3beta,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one
cpd:C17735	7-Oxatyphasterol; (22R,23R,24S)-3alpha,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one
cpd:C17737	Allocholic acid; Allocholate; 3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholanoic acid
cpd:C17740	p-Coumaroyl-diketide-CoA; (4-Coumaroyl)acetyl-CoA
cpd:C17741	Feruloyl-diketide-CoA; Feruloylacetyl-CoA
cpd:C17742	Demethoxycurcumin
cpd:C17743	Bisdemethoxycurcumin
cpd:C17744	1-(4-Hydroxyphenyl)-1-decene-3,5-dione
cpd:C17745	1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione
cpd:C17746	1-Dehydro-[6]-gingerdione
cpd:C17747	5-Hydroxy-1-(4-hydroxyphenyl)-3-decanone
cpd:C17748	1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone
cpd:C17749	Curcumin monoglucoside
cpd:C17750	Curcumin diglucoside
cpd:C17751	cyclo-Dopa 5-O-glucoside
cpd:C17752	cyclo-Dopa-glucuronylglucoside
cpd:C17753	Dopaxanthin quinone
cpd:C17754	3-Methoxytyramine-betaxanthin
cpd:C17755	Dopamine quinone
cpd:C17756	2-Descarboxy-cyclo-dopa; Indoline-5,6-diol; 5,6-Indolinediol
cpd:C17757	2-Descarboxy-betanidin
cpd:C17758	4,5-seco-Dopa
cpd:C17929	4-Methylhistamine
cpd:C17930	Dimaprit
cpd:C17931	Imetit
cpd:C17932	Immepip
cpd:C17933	Thioperamide
cpd:C17934	Clobenpropit
cpd:C17935	Cysteinyldopa; 5-S-Cysteinyl-DOPA
cpd:C17936	Phaeomelanin
cpd:C17937	Eumelanin
cpd:C17938	5,6-Indolequinone-2-carboxylic acid
cpd:C17940	Rhizocticin B
cpd:C17941	2-Oxo-4-phosphonobutanoate; 2-Oxo-4-phosphonobutanoic acid
cpd:C17942	FR 900098; (3-(Acetylhydroxyamino)propyl)phosphonic acid
cpd:C17943	Formylphosphonate; Phosphonoformaldehyde; Formylphosphonic acid
cpd:C17944	Rhizocticin A
cpd:C17945	Phosphonoformyl-CMP
cpd:C17946	Carboxyphosphonopyruvate
cpd:C17947	2-Phosphinomethylmalate; 2-Phosphinomethylmalic acid
cpd:C17948	Deamino-alpha-keto-demethylphosphinothricin; 4-(Hydroxyphosphinyl)-2-oxobutyric acid
cpd:C17949	N-Acetyldemethylphosphinothricin; N-Adpt
cpd:C17950	N-Acetyldemethylphosphinothricin tripeptide
cpd:C17951	N-Acetylbialaphos; N-Acetylphosphinothricin tripeptide
cpd:C17952	N-Acetylphosphinothricin; L-N-Acetylphosphinothricin; N-Acetyl-L-Glufosinate; N-Acetylphinothricin
cpd:C17953	(5S)-Albaflavenol
cpd:C17954	Albaflavenone
cpd:C17955	(5R)-Albaflavenol
cpd:C17960	Rhizocticin C
cpd:C17961	Rhizocticin D
cpd:C17962	Demethylphosphinothricin; (2S)-2-Amino-4-(hydroxyphosphinyl)butanoic acid
cpd:C18004	5''-Phosphoribostamycin
cpd:C18005	gamma-L-Glutamyl-butirosin B
cpd:C18006	gamma-L-Glutamyl-[acp]; gamma-L-Glutamyl-[acyl carrier protein]; gamma-L-Glutamyl-ACP
cpd:C18007	4-Aminobutyryl-[acp]; 4-Aminobutyryl-[acyl carrier protein]; GABA-ACP
cpd:C18008	4-(gamma-L-Glutamylamino)butanoyl-[acp]; gamma-L-Glutamyl-4-aminobutyryl-[acp]; gamma-L-Glutamyl-4-aminobutyryl-[acyl carrier protein]; gamma-L-Glutamyl-4-aminobutyryl-ACP
cpd:C18009	4-(gamma-L-Glutamylamino)-(2S)-2-hydroxybutanoyl-[acp]; gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-[acp]; gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-[acyl carrier protein]; gamma-L-Glutamyl-4-amino-2-hydroxybutyryl-ACP
cpd:C18010	Deltorphin A; Dermenkephalin
cpd:C18015	Momilactone A
cpd:C18016	3beta-Hydroxy-9beta-pimara-7,15-diene-19,6beta-olide
cpd:C18021	Pheophorbide a
cpd:C18022	Red chlorophyll catabolite
cpd:C18025	(+)-Menthofuran; (R)-Menthofuran
cpd:C18026	(2S)-Ethylmalonyl-CoA; (S)-Ethylmalonyl-CoA; Ethylmalonyl-CoA; Ethylmalonyl coenzyme A
cpd:C18027	(4R,7S)-7-Isopropyl-4-methyloxepan-2-one; (4R,7S)-4-Methyl-7-(1-methylethyl)-2-Oxepanone; Mentholactone
cpd:C18029	dTDP-3-oxo-2,6-dideoxy-D-glucose; dTDP-(2,6-dideoxy-alpha-D-erythro-hexopyranos-3-ulos-1-yl) ester
cpd:C18030	dTDP-2,6-dideoxy-D-kanosamine; dTDP-(3-amino-2,3,6-trideoxy-alpha-D-arabino-hexopyranosyl) ester
cpd:C18031	dTDP-D-angolosamine
cpd:C18032	dTDP-4-oxo-2,3,6-trideoxy-D-glucose; dTDP-[(2R,6R)-tetrahydro-6-methyl-5-oxo-2H-pyran-2-yl] ester
cpd:C18033	dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose; dTDP-[(2R,5S,6R)-5-aminotetrahydro-6-methyl-2H-pyran-2-yl] ester
cpd:C18034	dTDP-D-forosamine; dTDP-[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl] ester
cpd:C18036	Strigolactone ABC-rings
cpd:C18037	5-Deoxystrigol
cpd:C18038	7alpha-Hydroxypregnenolone; 3beta,7alpha-Dihydroxy-5-pregnen-20-one
cpd:C18039	Aldosterone hemiacetal; 11beta,18-Epoxy-18,21-dihydroxypregn-4-ene-3,20-dione
cpd:C18040	5alpha-Dihydrodeoxycorticosterone; 5alpha-Pregnan-21-ol-3,20-dione; Allopregnane-21-ol-3,20-dione
cpd:C18041	5alpha-Pregnan-20alpha-ol-3-one; Allopregnan-20alpha-ol-3-one
